title,release_date,genre,imdb_rating,casts,movie_id
the book of life,2014,"Animation,Adventure,Comedy,Family,Fantasy",7.3,"Diego Luna,Zoe Saldana,Channing Tatum",846
batman the dark knight returns part 1,2012,"Action,Animation,Mystery",8.0,"Peter Weller,Ariel Winter,David Selby",847
gone with the wind,1939,"Drama,War,Romance",8.1,"Clark Gable,Vivien Leigh,Thomas Mitchell",848
night at the museum,2006,"Action,Adventure,Comedy,Family,Fantasy",6.4,"Ben Stiller,Carla Gugino,Ricky Gervais",849
hunter killer,2018,"Action,Thriller",6.6,"Gerard Butler,Gary Oldman,Common",850
insidious chapter 3,2015,"Drama,Horror,Thriller",6.1,"Dermot Mulroney,Stefanie Scott,Angus Sampson",851
miss peregrine s home for peculiar children,2016,"Drama,Fantasy,Adventure,Family",6.7,"Eva Green,Asa Butterfield,Samuel L. Jackson",852
when marnie was there,2014,"Animation,Drama",7.7,"Sara Takatsuki,Kasumi Arimura,Nanako Matsushima",853
the fault in our stars,2014,"Romance,Drama",7.7,"Shailene Woodley,Ansel Elgort,Nat Wolff",854
american wedding,2003,"Comedy,Romance",6.3,"Jason Biggs,Alyson Hannigan,Seann William Scott",855
10 things i hate about you,1999,"Comedy,Romance,Drama",7.3,"Heath Ledger,Julia Stiles,Joseph Gordon-Levitt",856
poltergeist,2015,"Horror,Thriller",4.9,"Sam Rockwell,Rosemarie DeWitt,Kennedi Clements",857
prisoners,2013,"Drama,Thriller,Crime",8.1,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",858
sweeney todd the demon barber of fleet street,2007,"Drama,Horror",7.3,"Johnny Depp,Helena Bonham Carter,Alan Rickman",859
happy death day 2u,2019,"Comedy,Horror,Science Fiction",6.2,"Jessica Rothe,Israel Broussard,Phi Vu",860
true grit,1969,"Drama,Adventure,Western",7.6,"Jeff Bridges,Matt Damon,Hailee Steinfeld",861
ma,2019,Horror,5.6,"Octavia Spencer,Diana Silvers,Juliette Lewis",862
american psycho,2000,"Thriller,Drama,Crime,Horror",7.6,"Christian Bale,Justin Theroux,Josh Lucas",863
stray dolls,2020,"Drama,Crime",4.6,"Olivia DeJonge,Cynthia Nixon,Robert Aramayo",864
the scorpion king,2002,"Action,Fantasy,Adventure",5.5,"Dwayne Johnson,Steven Brand,Michael Clarke Duncan",865
fantastic four,2005,"Action,Adventure,Fantasy,Science Fiction",5.7,"Ioan Gruffudd,Michael Chiklis,Chris Evans",866
king arthur legend of the sword,2017,"Action,Drama,Fantasy",6.7,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law",867
hard target,1993,"Action,Adventure,Crime,Thriller,Drama",6.2,"Jean-Claude Van Damme,Lance Henriksen,Yancy Butler",868
where eagles dare,1968,"Action,Adventure,War",7.7,"Richard Burton,Clint Eastwood,Mary Ure",869
the man who knew infinity,2016,Drama,7.2,"Dev Patel,Jeremy Irons,Malcolm Sinclair",870
i want you,2012,"Thriller,Crime,Drama,Music,Romance",6.1,"Rachel Weisz,Alessandro Nivola,Luka Petrusic",871
perfume the story of a murderer,2006,"Crime,Fantasy,Drama",7.5,"Ben Whishaw,Dustin Hoffman,Alan Rickman",872
gretel hansel,2020,"Horror,Fantasy,Thriller",5.3,"Sophia Lillis,Samuel Leakey,Alice Krige",873
the spy who loved me,1977,"Adventure,Action,Thriller",7.1,"Roger Moore,Barbara Bach,Curd Jürgens",874
the aristocats,1970,"Animation,Comedy,Family,Adventure",7.1,"Phil Harris,Eva Gabor,Sterling Holloway",875
kung fu panda,2008,"Adventure,Animation,Family,Comedy",7.5,"Jack Black,Ian McShane,Angelina Jolie",876
28 weeks later,2007,"Horror,Thriller,Science Fiction",7.0,"Jeremy Renner,Rose Byrne,Robert Carlyle",877
the exorcist,1973,Horror,8.0,"Ellen Burstyn,Max von Sydow,Linda Blair",878
rango,2011,"Animation,Comedy,Family,Western,Adventure",7.2,"Johnny Depp,Isla Fisher,Timothy Olyphant",879
district 9,2009,Science Fiction,7.9,"Sharlto Copley,David James,Jason Cope",880
the adventures of tintin,2011,"Adventure,Animation,Mystery",7.3,"Jamie Bell,Andy Serkis,Daniel Craig",881
the living daylights,1987,"Action,Adventure,Thriller",6.7,"Timothy Dalton,Maryam d'Abo,Jeroen Krabbé",882
independence day resurgence,2016,"Action,Adventure,Science Fiction",5.2,"Liam Hemsworth,Jeff Goldblum,Bill Pullman",883
meet joe black,1998,"Fantasy,Drama,Romance",7.2,"Brad Pitt,Anthony Hopkins,Claire Forlani",884
saw vi,2009,"Horror,Mystery",6.0,"Tobin Bell,Costas Mandylor,Mark Rolston",885
addams family values,1993,"Comedy,Family,Fantasy",6.7,"Anjelica Huston,Raul Julia,Christopher Lloyd",886
ghostbusters,2016,"Comedy,Fantasy",7.8,"Bill Murray,Dan Aykroyd,Sigourney Weaver",887
diamonds are forever,1971,"Adventure,Action,Thriller",6.6,"Sean Connery,Jill St. John,Charles Gray",888
the butterfly effect,2004,"Science Fiction,Thriller",7.6,"Ashton Kutcher,Amy Smart,Melora Walters",889
nocturnal animals,2016,"Drama,Thriller",7.5,"Amy Adams,Jake Gyllenhaal,Michael Shannon",890
oldboy,2003,"Drama,Thriller,Mystery,Action",5.7,"Josh Brolin,Elizabeth Olsen,Samuel L. Jackson",891
i still see you,2018,"Thriller,Fantasy",5.8,"Bella Thorne,Richard Harmon,Dermot Mulroney",892
halloween,1978,"Horror,Thriller",7.8,"Donald Pleasence,Jamie Lee Curtis,Tony Moran",893
dragon ball z battle of gods,2013,"Animation,Action,Science Fiction",7.2,"Masako Nozawa,Hiromi Tsuru,Ryô Horikawa",894
watchmen,2009,"Action,Mystery,Science Fiction",7.6,"Jackie Earle Haley,Patrick Wilson,Carla Gugino",895
hancock,2008,"Fantasy,Action",6.4,"Will Smith,Charlize Theron,Jason Bateman",896
the dark tower,2017,"Action,Fantasy,Science Fiction,Adventure",5.6,"Idris Elba,Matthew McConaughey,Tom Taylor",897
nymphomaniac vol ii,2013,"Drama,Mystery",6.7,"Charlotte Gainsbourg,Stellan Skarsgård,Willem Dafoe",898
murder mystery,2019,"Comedy,Crime,Mystery,Action",6.0,"Adam Sandler,Jennifer Aniston,Luke Evans",899
addicted,2014,"Drama,Thriller",5.2,"Sharon Leal,Boris Kodjoe,John Newberg",900
fantastic four,2015,"Action,Adventure,Fantasy,Science Fiction",5.7,"Ioan Gruffudd,Michael Chiklis,Chris Evans",901
pearl harbor,2001,"History,Romance,War,Drama",6.2,"Ben Affleck,Kate Beckinsale,Josh Hartnett",902
alice through the looking glass,2016,"Adventure,Family,Fantasy",6.2,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter",903
begin again,2013,"Comedy,Music,Romance,Drama",7.4,"Keira Knightley,Mark Ruffalo,Adam Levine",904
hansel gretel witch hunters,2013,"Fantasy,Horror,Action",6.1,"Jeremy Renner,Gemma Arterton,Peter Stormare",905
a walk to remember,2002,"Drama,Romance",7.4,"Mandy Moore,Shane West,Peter Coyote",906
species,1995,"Science Fiction,Horror,Action",5.8,"Natasha Henstridge,Michael Madsen,Ben Kingsley",907
the crow,1994,"Fantasy,Action,Thriller",7.6,"Brandon Lee,Michael Wincott,Rochelle Davis",908
mother,2017,"Drama,Horror,Mystery",6.6,"Jennifer Lawrence,Javier Bardem,Ed Harris",909
the intouchables,2011,"Drama,Comedy",8.5,"François Cluzet,Omar Sy,Anne Le Ny",910
monsters university,2013,"Animation,Family",7.3,"Billy Crystal,John Goodman,Steve Buscemi",911
inside man,2006,"Crime,Drama,Thriller",7.6,"Denzel Washington,Clive Owen,Jodie Foster",912
blade ii,2002,"Fantasy,Horror,Action,Thriller",6.7,"Wesley Snipes,Kris Kristofferson,Ron Perlman",913
code 8,2019,"Science Fiction,Action,Crime,Thriller,Drama",6.1,"Kari Matchett,Robbie Amell,Penny Eizenga",914
21 jump street,2012,"Action,Comedy,Crime",7.2,"Jonah Hill,Channing Tatum,Ice Cube",915
rocky iv,1985,Drama,6.9,"Sylvester Stallone,Talia Shire,Burt Young",916
red dwarf the promised land,2020,"Science Fiction,Comedy,Adventure,TV Movie",7.7,"Chris Barrie,Craig Charles,Danny John-Jules",917
12 years a slave,2013,"Drama,History",8.1,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",918
300,2007,"Action,Adventure,War",7.6,"Gerard Butler,Lena Headey,David Wenham",919
a simple favor,2018,"Crime,Comedy,Mystery,Drama,Thriller",6.8,"Anna Kendrick,Blake Lively,Henry Golding",920
black christmas,2019,"Horror,Thriller",4.6,"Michelle Trachtenberg,Mary Elizabeth Winstead,Lacey Chabert",921
the prince of egypt,1998,"Adventure,Animation,Drama,Family,Music,Comedy",7.1,"Val Kilmer,Ralph Fiennes,Michelle Pfeiffer",922
dredd,2012,"Action,Science Fiction",7.1,"Karl Urban,Olivia Thirlby,Lena Headey",923
baywatch,2017,"Action,Comedy",5.5,"Dwayne Johnson,Zac Efron,Alexandra Daddario",924
overboard,1987,"Romance,Comedy",6.0,"Eugenio Derbez,Anna Faris,Eva Longoria",925
dragon ball z broly the legendary super saiyan,1993,"Animation,Science Fiction,Action",7.5,"Bin Shimada,Masako Nozawa,Ryô Horikawa",926
good will hunting,1997,Drama,8.3,"Robin Williams,Matt Damon,Ben Affleck",927
american history x,1998,Drama,8.5,"Edward Norton,Edward Furlong,Beverly D'Angelo",928
the angry birds movie,2016,"Animation,Adventure,Comedy",6.3,"Jason Sudeikis,Josh Gad,Danny McBride",929
insidious chapter 2,2013,"Horror,Thriller",6.6,"Patrick Wilson,Rose Byrne,Barbara Hershey",930
taken,2008,"Thriller,Action",6.0,"Liam Neeson,Forest Whitaker,Maggie Grace",931
black swan,2010,"Drama,Thriller,Horror",8.0,"Natalie Portman,Mila Kunis,Vincent Cassel",932
lost in translation,2003,"Drama,Romance,Comedy",7.7,"Bill Murray,Scarlett Johansson,Giovanni Ribisi",933
mirror mirror,2012,"Adventure,Comedy,Drama,Family,Fantasy",5.6,"Lily Collins,Julia Roberts,Armie Hammer",934
dances with wolves,1990,"Adventure,Drama,Western",8.0,"Kevin Costner,Mary McDonnell,Graham Greene",935
snowpiercer,2013,"Action,Science Fiction,Drama",7.1,"Chris Evans,Jamie Bell,Tilda Swinton",936
pain and glory,2019,Drama,7.6,"Antonio Banderas,Asier Etxeandia,Leonardo Sbaraglia",937
flushed away,2006,"Adventure,Animation,Comedy,Family",6.6,"Hugh Jackman,Kate Winslet,Ian McKellen",938
dial m for murder,1954,"Crime,Thriller,Drama",8.2,"Ray Milland,Grace Kelly,Robert Cummings",939
mulan ii,2004,"Animation,Comedy,Family,Action",5.7,"Ming-Na Wen,BD Wong,Mark Moseley",940
lord of war,2005,"Crime,Drama,Thriller",7.6,"Nicolas Cage,Ethan Hawke,Jared Leto",941
a cure for wellness,2017,"Horror,Mystery,Science Fiction,Thriller",6.4,"Dane DeHaan,Jason Isaacs,Mia Goth",942
inherent vice,2014,"Comedy,Romance,Crime,Drama,Mystery",6.7,"Joaquin Phoenix,Josh Brolin,Owen Wilson",943
only the brave,2017,"Drama,Action",7.6,"Josh Brolin,Miles Teller,Jeff Bridges",944
capernaum,2018,Drama,8.4,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",945
cheeky,2000,"Comedy,Drama",6.0,"David Thewlis,Lisa Gorman,Sean Ward",946
the main event,2020,"Family,Comedy",4.7,"Seth Carr,Tichina Arnold,Adam Pally",947
allied,2016,"Action,Drama,War,Romance,Thriller",7.1,"Brad Pitt,Marion Cotillard,Jared Harris",948
the island,2005,"Action,Thriller,Science Fiction,Adventure",6.8,"Scarlett Johansson,Ewan McGregor,Djimon Hounsou",949
big fish,2003,"Adventure,Fantasy,Drama",8.0,"Ewan McGregor,Albert Finney,Billy Crudup",950
batman the dark knight returns part 2,2013,"Action,Animation,Mystery",8.4,"Peter Weller,Ariel Winter,Michael Emerson",951
blow,2001,"Crime,Drama",7.6,"Johnny Depp,Penélope Cruz,Franka Potente",952
planet of the apes,2001,"Thriller,Science Fiction,Action,Adventure",5.7,"Mark Wahlberg,Helena Bonham Carter,Tim Roth",953
the favourite,2018,"Drama,History,Comedy",7.5,"Olivia Colman,Emma Stone,Rachel Weisz",954
catch me if you can,2002,"Drama,Crime",8.1,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",955
how it ends,2018,"Science Fiction,Thriller,Mystery,Action,Adventure",5.0,"Theo James,Kat Graham,Nancy Sorel",956
the mortal instruments city of bones,2013,"Action,Adventure,Drama,Mystery,Romance,Fantasy",5.9,"Lily Collins,Jamie Campbell Bower,Robert Sheehan",957
the nutcracker and the four realms,2018,"Fantasy,Adventure,Family",5.5,"Mackenzie Foy,Keira Knightley,Morgan Freeman",958
the chronicles of narnia prince caspian,2008,"Adventure,Family,Fantasy",6.5,"Ben Barnes,Skandar Keynes,Georgie Henley",959
annabelle creation,2017,"Horror,Mystery,Thriller",6.5,"Anthony LaPaglia,Samara Lee,Miranda Otto",960
superman,1978,"Science Fiction,Action,Adventure",7.3,"Christopher Reeve,Margot Kidder,Gene Hackman",961
ghost rider spirit of vengeance,2011,"Action,Fantasy,Thriller",4.3,"Nicolas Cage,Ciarán Hinds,Idris Elba",962
cloudy with a chance of meatballs,2009,"Animation,Comedy,Family",6.9,"Anna Faris,Bill Hader,Bruce Campbell",963
the loft,2014,Thriller,6.3,"Karl Urban,James Marsden,Wentworth Miller",964
the lego movie 2 the second part,2019,"Action,Adventure,Animation,Comedy,Family,Science Fiction,Fantasy",6.6,"Chris Pratt,Elizabeth Banks,Will Arnett",965
reservoir dogs,1992,"Crime,Thriller",8.3,"Harvey Keitel,Tim Roth,Michael Madsen",966
a view to a kill,1985,"Adventure,Action,Thriller",6.4,"Roger Moore,Christopher Walken,Tanya Roberts",967
halloween,2018,"Horror,Thriller",7.8,"Donald Pleasence,Jamie Lee Curtis,Tony Moran",968
judy,2019,Drama,6.8,"Renée Zellweger,Jessie Buckley,Finn Wittrock",969
you only live twice,1967,"Action,Thriller,Adventure",6.9,"Sean Connery,Akiko Wakabayashi,Mie Hama",970
dead poets society,1989,Drama,8.1,"Robin Williams,Robert Sean Leonard,Ethan Hawke",971
ratsasan,2018,"Action,Thriller,Crime",8.7,"Vishnu Vishal,Radha Ravi,Sangili Murugan",972
vivre sans eux,2020,"Thriller,TV Movie",6.0,"Bernard Le Coq,Esther Garrel,Grégory Montel",973
scooby doo 2 monsters unleashed,2004,"Mystery,Fantasy,Adventure,Comedy",5.1,"Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard",974
something something unakkum enakkum,2006,"Romance,Drama,Action",6.8,"Jayam Ravi,Trisha Krishnan,Prabhu",975
final fantasy vii advent children,2005,"Action,Adventure,Animation,Fantasy,Science Fiction",7.2,"Takahiro Sakurai,Ayumi Itô,Shôtarô Morikubo",976
blackkklansman,2018,"Crime,Drama,History,Comedy",7.5,"John David Washington,Adam Driver,Laura Harrier",977
happy death day,2017,"Horror,Mystery,Thriller,Comedy",6.5,"Jessica Rothe,Israel Broussard,Ruby Modine",978
the wild goose lake,2019,"Crime,Drama",6.8,"Ge Hu,Lun-Mei Kwei,Fan Liao",979
seven samurai,1954,Documentary,7.7,"Stephen Prince,Joan Mellen,Tadao Sato",980
neelakasham pachakadal chuvanna bhoomi,2013,"Romance,Thriller",7.7,"Dulquer Salmaan,Sunny Wayne,Bala Hijam",981
highlander,1986,"Adventure,Action,Fantasy",7.1,"Christopher Lambert,Sean Connery,Clancy Brown",982
12 strong,2018,"Drama,Action,History,War",6.6,"Chris Hemsworth,Michael Shannon,Michael Peña",983
a walk among the tombstones,2014,"Crime,Drama,Mystery,Thriller",6.5,"Liam Neeson,Dan Stevens,David Harbour",984
rambo,2008,"Action,Thriller",7.0,"Sylvester Stallone,Julie Benz,Matthew Marsden",985
climax,2018,"Drama,Horror,Music",7.1,"Sofia Boutella,Romain Guillermic,Souheila Yacoub",986
rocky iii,1982,Drama,6.8,"Sylvester Stallone,Talia Shire,Burt Young",987
the legend of drunken master,1994,"Action,Comedy",7.6,"Jackie Chan,Ho-Sung Pak,Lung Ti",988
the lone ranger,2013,"Action,Adventure,Western",6.4,"Johnny Depp,Armie Hammer,William Fichtner",989
stray,2020,"Thriller,Action,Crime,Fantasy",4.8,"Karen Fukuhara,Christine Woods,Miyavi",990
10 cloverfield lane,2016,"Thriller,Science Fiction,Drama,Horror",7.2,"John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.",991
molly s game,2017,"Crime,Drama",7.4,"Jessica Chastain,Idris Elba,Kevin Costner",992
child s play,1988,Horror,5.8,"Tim Matheson,Ben Andrusco-Daon,Zahra Anderson",993
casino,1995,Crime,8.2,"Robert De Niro,Sharon Stone,Joe Pesci",994
the adventures of sharkboy and lavagirl,2005,"Adventure,Family,Science Fiction",3.5,"Cayden Boyd,George Lopez,Kristin Davis",995
stand by me,1986,"Crime,Drama",8.1,"Wil Wheaton,River Phoenix,Corey Feldman",996
sierra burgess is a loser,2018,"Comedy,Drama,Romance",5.8,"Shannon Purser,Kristine Froseth,RJ Cyler",997
mr peabody sherman,2014,"Animation,Adventure,Family",6.8,"Ty Burrell,Max Charles,Stephen Colbert",998
private lessons,1981,"Comedy,Romance",5.2,"Sylvia Kristel,Howard Hesseman,Eric Brown",999
police academy,1984,"Comedy,Crime",6.7,"Steve Guttenberg,G.W. Bailey,Kim Cattrall",1000
truth to power barbara lee speaks for me,2020,unknown,1.2,"Cory Booker,Chinaka Hodge,Van Jones",1001
kingsman the secret service,2014,"Crime,Comedy,Action,Adventure",7.7,"Colin Firth,Taron Egerton,Samuel L. Jackson",1002
fifty shades darker,2017,"Drama,Romance",4.6,"Dakota Johnson,Jamie Dornan,Eric Johnson",1003
days of thunder,1990,"Adventure,Action,Romance,Drama",6.0,"Tom Cruise,Nicole Kidman,Robert Duvall",1004
dragonheart a new beginning,2000,"Action,Adventure,Comedy,Fantasy",4.5,"Christopher Masterson,Harry Van Gorkum,Rona Figueroa",1005
dumbo,1941,"Adventure,Family,Fantasy",6.3,"Colin Farrell,Michael Keaton,Danny DeVito",1006
room,2015,"Drama,Thriller",8.1,"Brie Larson,Jacob Tremblay,Sean Bridgers",1007
commando,1985,"Action,Adventure,Thriller",6.7,"Arnold Schwarzenegger,Rae Dawn Chong,Dan Hedaya",1008
tron legacy,2010,"Adventure,Action,Science Fiction",6.8,"Jeff Bridges,Garrett Hedlund,Olivia Wilde",1009
it s a wonderful life,1946,"Drama,Family,Fantasy",8.6,"James Stewart,Donna Reed,Lionel Barrymore",1010
les mis rables,2012,"Crime,Drama,Thriller",7.6,"Damien Bonnard,Alexis Manenti,Djebril Zonga",1011
american hustle,2013,"Drama,Crime",7.2,"Christian Bale,Amy Adams,Bradley Cooper",1012
the legend of tarzan,2016,"Action,Adventure",6.2,"Alexander Skarsgård,Rory J. Saper,Christian Stevens",1013
the girl in the spider s web,2018,"Action,Crime,Thriller",6.1,"Claire Foy,Beau Gadsdon,Sverrir Gudnason",1014
birth,2004,"Drama,Mystery,Romance",6.1,"Nicole Kidman,Cameron Bright,Lauren Bacall",1015
brokeback mountain,2005,"Drama,Romance",7.7,"Jake Gyllenhaal,Heath Ledger,Michelle Williams",1016
the expendables 3,2014,"Action,Adventure,Thriller",6.1,"Sylvester Stallone,Jason Statham,Jet Li",1017
ice age the meltdown,2006,"Animation,Family,Comedy,Adventure",6.8,"Ray Romano,John Leguizamo,Denis Leary",1018
hotel mumbai,2019,"Drama,History,Action,Thriller",7.6,"Dev Patel,Armie Hammer,Nazanin Boniadi",1019
london has fallen,2016,"Action,Thriller",5.9,"Gerard Butler,Aaron Eckhart,Morgan Freeman",1020
arthur and the revenge of maltazard,2009,"Adventure,Fantasy,Animation,Family",5.3,"Freddie Highmore,Selena Gomez,Mia Farrow",1021
mad max,1979,"Adventure,Action,Thriller,Science Fiction",6.9,"Mel Gibson,Joanne Samuel,Hugh Keays-Byrne",1022
treasure planet,2002,"Adventure,Animation,Family,Fantasy,Science Fiction",7.2,"Joseph Gordon-Levitt,Emma Thompson,Martin Short",1023
hot fuzz,2007,"Crime,Action,Comedy",7.8,"Simon Pegg,Nick Frost,Martin Freeman",1024
the fox and the hound,1981,"Adventure,Animation,Drama,Family",7.3,"Mickey Rooney,Kurt Russell,Pearl Bailey",1025
the patriot,2000,"Drama,History,War,Action",7.2,"Mel Gibson,Heath Ledger,Joely Richardson",1026
polar,2019,"Action,Crime,Drama",6.3,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick",1027
aladdin and the king of thieves,1996,"Adventure,Animation,Family",6.4,"Scott Weinger,Robin Williams,John Rhys-Davies",1028
true lies,1994,"Action,Thriller",7.2,"Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold",1029
the mummy tomb of the dragon emperor,2008,"Adventure,Action,Fantasy",5.2,"Brendan Fraser,Jet Li,Maria Bello",1030
escobar paradise lost,2014,"Thriller,Romance",6.5,"Benicio Del Toro,Josh Hutcherson,Claudia Traisac",1031
teen beach 2,2015,"TV Movie,Family,Comedy,Fantasy",6.1,"Ross Lynch,Maia Mitchell,Gracie Gillam",1032
a hidden life,2019,"Drama,War,History",7.4,"August Diehl,Valerie Pachner,Maria Simon",1033
the room,2019,"Science Fiction,Mystery,Drama,Thriller",6.0,"Olga Kurylenko,Kevin Janssens,Joshua Wilson",1034
suspiria,1977,"Horror,Fantasy",6.8,"Chloë Grace Moretz,Tilda Swinton,Doris Hick",1035
kung fu panda 3,2016,"Action,Adventure,Animation,Comedy,Family",7.1,"Jack Black,Bryan Cranston,Dustin Hoffman",1036
the aviator,2004,Drama,7.5,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale",1037
homefront,2013,"Action,Thriller",6.5,"Jason Statham,James Franco,Winona Ryder",1038
the intruder,2019,Thriller,5.6,"Michael Ealy,Meagan Good,Dennis Quaid",1039
dirty dancing,1987,"Drama,Music,Romance",7.0,"Patrick Swayze,Jennifer Grey,Jerry Orbach",1040
the librarian quest for the spear,2004,"Thriller,Adventure,Action,Comedy,Drama,Fantasy,Romance",6.3,"Noah Wyle,Sonya Walger,Bob Newhart",1041
kick ass,2010,"Action,Crime",7.6,"Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz",1042
the boy who harnessed the wind,2019,Drama,7.6,"Chiwetel Ejiofor,Maxwell Simba,Felix Lemburo",1043
eternal sunshine of the spotless mind,2004,"Science Fiction,Drama,Romance",8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson",1044
the snowman,2017,"Crime,Thriller",5.1,"Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg",1045
thelma louise,1991,"Drama,Thriller,Crime,Adventure",7.5,"Susan Sarandon,Geena Davis,Harvey Keitel",1046
the hangover part iii,2013,Comedy,5.8,"Bradley Cooper,Zach Galifianakis,Ed Helms",1047
the curious case of benjamin button,2008,"Fantasy,Drama,Thriller,Mystery,Romance",7.8,"Brad Pitt,Cate Blanchett,Tilda Swinton",1048
ballerina,2016,"Animation,Adventure,Comedy,Family",6.8,"Elle Fanning,Dane DeHaan,Carly Rae Jepsen",1049
the mule,2018,"Crime,Drama,Thriller",7.0,"Clint Eastwood,Patrick L. Reyes,Cesar De León",1050
crank,2006,"Action,Thriller,Crime",6.9,"Jason Statham,Amy Smart,Carlos Sanz",1051
pride and prejudice and zombies,2016,"Romance,Horror,Comedy,Thriller",5.8,"Lily James,Sam Riley,Jack Huston",1052
tigertail,2020,Drama,6.4,"Tzi Ma,Christine Ko,Hong-Chi Lee",1053
go,2020,"Crime,Comedy,Thriller",7.2,"Sarah Polley,Jay Mohr,Scott Wolf",1054
127 hours,2010,"Adventure,Drama,Thriller",7.6,"James Franco,Amber Tamblyn,Kate Mara",1055
king kong,2005,"Adventure,Drama,Action",7.2,"Naomi Watts,Jack Black,Adrien Brody",1056
vertigo,1958,"Mystery,Romance,Thriller",8.3,"James Stewart,Kim Novak,Barbara Bel Geddes",1057
national treasure book of secrets,2007,"Action,Adventure,Mystery,Thriller",6.5,"Nicolas Cage,Diane Kruger,Justin Bartha",1058
the 5th wave,2016,"Adventure,Science Fiction,Action",5.2,"Chloë Grace Moretz,Matthew Zuk,Gabriela Lopez",1059
american made,2017,"Action,Crime,Comedy",7.2,"Tom Cruise,Domhnall Gleeson,Sarah Wright",1060
escape from alcatraz,1979,"Crime,Drama",7.6,"Clint Eastwood,Patrick McGoohan,Roberts Blossom",1061
replicas,2018,"Thriller,Science Fiction",5.5,"Keanu Reeves,Alice Eve,Thomas Middleditch",1062
rules of engagement,2000,"Action,Adventure,Drama,History,War",6.4,"Tommy Lee Jones,Samuel L. Jackson,Guy Pearce",1063
the wind rises,2013,"Animation,War,History,Drama,Romance",7.8,"Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto",1064
the dead don t die,2019,"Comedy,Horror,Fantasy",5.5,"Bill Murray,Adam Driver,Tom Waits",1065
the judge,2014,Drama,7.4,"Robert Downey Jr.,Robert Duvall,Vera Farmiga",1066
into the blue,2005,"Action,Thriller,Adventure,Crime",5.9,"Paul Walker,Jessica Alba,Scott Caan",1067
the terminal,2004,"Comedy,Drama",7.4,"Tom Hanks,Catherine Zeta-Jones,Chi McBride",1068
final destination,2000,Horror,6.7,"Devon Sawa,Ali Larter,Kerr Smith",1069
basic instinct,1992,"Thriller,Mystery",7.0,"Michael Douglas,Sharon Stone,George Dzundza",1070
the golden compass,2007,"Adventure,Fantasy",6.1,"Nicole Kidman,Daniel Craig,Dakota Blue Richards",1071
bull,2019,Drama,8.2,"Robert De Niro,Cathy Moriarty,Joe Pesci",1072
live and let die,1973,"Adventure,Action,Thriller",6.8,"Roger Moore,Yaphet Kotto,Jane Seymour",1073
rear window,1954,"Drama,Mystery,Thriller",8.4,"James Stewart,Grace Kelly,Wendell Corey",1074
timmy failure mistakes were made,2020,"Family,Mystery,Comedy,Adventure,Fantasy",6.1,"Winslow Fegley,Ophelia Lovibond,Wallace Shawn",1075
jan dara,2001,"Romance,Drama",6.0,"Eakarat Sarsukh,Suwinit Panjamawat,Kanchit Thamthong",1076
north by northwest,1959,"Mystery,Thriller",8.3,"Cary Grant,Eva Marie Saint,James Mason",1077
the social network,2010,Drama,7.7,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake",1078
all the president s men,1976,"Drama,History,Mystery,Thriller",8.0,"Dustin Hoffman,Robert Redford,Jack Warden",1079
the key,1983,Drama,5.9,"William Powell,Edna Best,Colin Clive",1080
the hateful eight,2015,"Crime,Drama,Mystery,Western",7.8,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh",1081
sister act,1992,"Music,Comedy",6.4,"Whoopi Goldberg,Maggie Smith,Kathy Najimy",1082
the hitman s bodyguard,2017,"Thriller,Comedy,Crime,Action",6.9,"Ryan Reynolds,Samuel L. Jackson,Gary Oldman",1083
saw 3d,2010,"Horror,Crime",5.6,"Tobin Bell,Costas Mandylor,Betsy Russell",1084
rocky ii,1979,Drama,7.3,"Sylvester Stallone,Talia Shire,Burt Young",1085
clueless,1995,"Comedy,Romance",6.8,"Alicia Silverstone,Stacey Dash,Brittany Murphy",1086
the spy who dumped me,2018,"Action,Comedy",6.0,"Justin Theroux,Blanka Györfi-Tóth,Vilma Szécsi",1087
jigsaw,2017,"Crime,Horror,Mystery,Thriller",5.8,"Matt Passmore,Tobin Bell,Callum Keith Rennie",1088
it,2017,Horror,7.3,"Bill Skarsgård,Jaeden Martell,Finn Wolfhard",1089
from up on poppy hill,2011,"Animation,Drama",7.4,"Sarah Bolger,Chris Noth,Anton Yelchin",1090
paths of glory,1957,"Drama,War",8.4,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",1091
