release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2016,16.766,1520,comedy,scott-rudin-productions red-hour,4.7,ben-stiller,ben-stiller owen-wilson penélope-cruz
2006,16.758,1287,action adventure romance science-fiction thriller,open-road-films nick-wechsler-productions silver-reel chockstone-pictures universal-pictures,5.9,andrew-niccol,saoirse-ronan max-irons jake-abel
2006,16.75,822,fantasy adventure animation comedy family,dna-productions playtone legendary-entertainment warner-bros.-pictures,5.8,john-a.-davis,paul-giamatti nicolas-cage julia-roberts
2011,16.745,48,drama adventure romance,one-dollar-production-limited local-production,4.3,christopher-sun,hiro-hayama leni-lan-crazybarby miyavi-matsunoi
2017,16.744,249,family animation adventure comedy,gulfstream-pictures redrover toonbox-entertainment open-road-films,5.4,cal-brunker,will-arnett maya-rudolph bobby-cannavale
2019,16.743,474,thriller mystery horror,sidney-kimmel-entertainment lawrence-bender-productions little-wave-productions,6.0,neil-jordan,isabelle-huppert chloë-grace-moretz maika-monroe
2020,16.741,1,comedy,picomedia medusa-film,5.4,rolando-ravello,marco-giallini isabella-ferrari giuseppe-battiston
2016,16.741,1615,drama,jackie-productions-(ii) fox-searchlight-pictures why-not-productions wild-bunch protozoa-pictures bliss-media ld-entertainment endemol-shine-north-america fabula,6.7,pablo-larraín,natalie-portman peter-sarsgaard greta-gerwig
2013,16.733,1644,drama,cbs-films studiocanal anton-capital-entertainment-(ace) scott-rudin-productions mike-zoss-productions,7.5,unknown,oscar-isaac carey-mulligan john-goodman
2013,16.727999999999998,4659,science-fiction action adventure,columbia-pictures overbrook-entertainment blinding-edge-pictures sony-pictures,4.8,m.-night-shyamalan,jaden-smith david-denman will-smith
1993,16.727,794,action drama thriller crime mystery,castle-rock-entertainment columbia-pictures apple-/-rose,7.2,wolfgang-petersen,clint-eastwood john-malkovich rene-russo
2012,16.725,215,family animation,mattel rainmaker-studios,5.7,ezekiel-norton,kelly-sheridan jennifer-waris ashleigh-ball
1988,16.722,752,action crime,oak-pictures tristar-pictures lone-wolf carolco-pictures,6.1,walter-hill,arnold-schwarzenegger jim-belushi peter-boyle
2019,16.718,280,drama romance,sony-pictures columbia-pictures pascal-pictures regency-enterprises,7.9,greta-gerwig,saoirse-ronan emma-watson florence-pugh
2011,16.717,4225,animation adventure comedy family,blue-sky-studios 20th-century-fox-animation 20th-century-fox,6.9,carlos-saldanha,jesse-eisenberg anne-hathaway george-lopez
2013,16.713,766,action crime thriller,dark-castle-entertainment after-dark-films im-global automatik-entertainment silver-reel emjag-productions millar-gough-ink headshot-films,5.7,walter-hill,sylvester-stallone jason-momoa christian-slater
2005,16.713,4275,comedy romance,universal-pictures apatow-productions,7.1,judd-apatow,steve-carell catherine-keener paul-rudd
2002,16.712,2076,family fantasy comedy adventure,canal+ kc-medien katharina la-petite-reine renn-productions centre-national-du-cinéma-et-de-l'image-animée tf1-films-production chez-wam,6.6,alain-chabat,gérard-depardieu christian-clavier jamel-debbouze
2017,16.709,530,drama romance,braven-films element-pictures film4-productions universal-pictures lc6-productions,6.6,sebastián-lelio,rachel-weisz rachel-mcadams alessandro-nivola
1950,16.708,1288,drama,paramount,8.4,billy-wilder,william-holden gloria-swanson erich-von-stroheim
2009,16.703,3233,romance family animation,walt-disney-pictures walt-disney-animation-studios,7.1,unknown,anika-noni-rose keith-david oprah-winfrey
1975,16.695999999999998,1395,drama romance war,hawk-films peregrine warner-bros.-pictures,8.1,stanley-kubrick,ryan-o'neal marisa-berenson patrick-magee
1996,16.692,2500,comedy family fantasy,jersey-films tristar-pictures sony-pictures,6.9,danny-devito,danny-devito rhea-perlman mara-wilson
1991,16.692,585,science-fiction adventure action comedy family,orange-sky-golden-harvest new-line-cinema,6.0,michael-pressman,paige-turco david-warner michelan-sisti
2000,16.686,2313,comedy crime action,village-roadshow-pictures castle-rock-entertainment npv-entertainment fortis-films warner-bros.-pictures,6.2,donald-petrie,sandra-bullock michael-caine benjamin-bratt
2011,16.684,733,crime comedy action,regency-enterprises new-regency-pictures friendly-films-(ii) runteldat-entertainment the-collective-studios friendly-films-productions 20th-century-fox,4.4,john-whitesell,martin-lawrence brandon-t.-jackson jessica-lucas
1985,16.683,473,drama science-fiction,bavaria-film slm-production-group kings-road-entertainment 20th-century-fox,6.9,wolfgang-petersen,dennis-quaid louis-gossett-jr. brion-james
2007,16.682000000000002,1510,fantasy action science-fiction thriller horror,dune-entertainment davis-entertainment brandywine-productions 20th-century-fox,4.7,unknown,reiko-aylesworth steven-pasquale shareeka-epps
2002,16.680999999999994,862,thriller action drama,mel's-cite-du-cinema paramount mace-neufeld-productions mfp-munich-film-partners-gmbh-&-company-i.-produktions-kg s.o.a.f.-productions,6.4,phil-alden-robinson,ben-affleck morgan-freeman ian-mongrain
2008,16.68,2012,drama science-fiction thriller,dune-entertainment-iii earth-canada-productions hammerhead-productions 3-arts-entertainment 20th-century-fox,5.5,scott-derrickson,keanu-reeves jennifer-connelly kathy-bates
2020,16.678,1,horror comedy,full-moon-features,2.7,charles-band,cody-renee-cameron russell-coker robin-sydney
2015,16.676,3606,adventure animation family,pixar,6.7,peter-sohn,jeffrey-wright frances-mcdormand maleah-nipay-padilla
2009,16.676,1337,drama,mark-johnson-productions gran-via-productions curmudgeon-films new-line-cinema,7.4,nick-cassavetes,cameron-diaz abigail-breslin alec-baldwin
2009,16.674,6427,comedy drama romance,fox-searchlight-pictures watermark-pictures dune-entertainment-iii,7.7,marc-webb,zooey-deschanel joseph-gordon-levitt geoffrey-arend
1972,16.671,512,action comedy,unknown,5.2,yang-xiao,yang-xiao taili-wang jingjing-qu
2014,16.667,775,war drama,fear-of-god-films hopscotch-features,7.0,russell-crowe,russell-crowe olga-kurylenko jai-courtney
2011,16.666,2152,action crime comedy,original-film reliance-big-entertainment sony-pictures,5.8,michel-gondry,seth-rogen jay-chou christoph-waltz
2006,16.666,295,comedy science-fiction drama mystery thriller,wild-bunch universal-pictures cherry-road-films darko-entertainment mhf-zweite-academy-film eden-roc-productions persistent-entertainment academy-film destination-films inferno-distribution,5.4,richard-kelly,dwayne-johnson sarah-michelle-gellar seann-william-scott
2019,16.665,243,action,new-line-cinema bron-studios dc-comics michael-de-luca-productions,5.5,andrea-berloff,melissa-mccarthy tiffany-haddish elisabeth-moss
2013,16.664,667,adventure drama history,pixomondo ufa-cinema cinepostproduction beta-cinema cine-mobil ard/degeto-film,7.2,philipp-stölzl,tom-payne stellan-skarsgård olivier-martinez
1999,16.662,997,adventure history action,touchstone-pictures,6.6,unknown,antonio-banderas diane-venora dennis-storhøi
2005,16.659000000000002,1642,drama music romance,mars-media-beteiligungs tree-line-films konrad-pictures catfish-productions fox-2000-pictures,7.8,james-mangold,joaquin-phoenix reese-witherspoon ginnifer-goodwin
1965,16.634,1931,drama family music romance,robert-wise-productions argyle-enterprises 20th-century-fox,8.0,robert-wise,julie-andrews christopher-plummer eleanor-parker
2004,16.631,645,western adventure action,touchstone-pictures casey-silver-productions dune-films,6.7,joe-johnston,viggo-mortensen omar-sharif zuleikha-robinson
2009,16.628,1503,fantasy comedy romance,panther jon-shestack-productions new-line-cinema,5.8,mark-waters,matthew-mcconaughey jennifer-garner emma-stone
1985,16.625,656,animation adventure family,silver-screen-partners-ii walt-disney-pictures,6.4,unknown,grant-bardsley freddie-jones susan-sheridan
2003,16.62,1803,comedy family,robert-simonds-productions 20th-century-fox,5.9,shawn-levy,steve-martin bonnie-hunt hilary-duff
2018,16.618,229,drama,unknown,8.0,philip-smith,maxwell-caulfield orlando-wells robert-jezek
2017,16.617,966,drama thriller romance science-fiction mystery,pandemonium lightstream-entertainment screen-australia walk-the-walk-entertainment,5.8,paul-currie,michiel-huisman teresa-palmer sam-reid
2015,16.616,1751,drama thriller horror,sobras-international-pictures lionsgate-premiere universum-film-(ufa) black-bear-pictures camp-grey dragonfly-entertainment,4.9,eli-roth,keanu-reeves lorenza-izzo ana-de-armas
2017,16.61,2835,drama romance,alloy-entertainment itaca-films metro-goldwyn-mayer,6.4,stella-meghie,amandla-stenberg nick-robinson anika-noni-rose
1988,16.602999999999998,762,drama romance comedy,interscope-communications touchstone-pictures silver-screen-partners-iii,5.9,roger-donaldson,tom-cruise bryan-brown elisabeth-shue
2016,16.601,1056,action drama history thriller,red-hawk-entertainment walt-disney-pictures whitaker-entertainment bergsten-music,6.8,craig-gillespie,chris-pine casey-affleck ben-foster
1973,16.599,514,action crime thriller drama mystery,warner-bros.-pictures malpaso-productions,7.2,ted-post,clint-eastwood hal-holbrook mitchell-ryan
2006,16.599,1761,adventure fantasy animation family,canal+ sofica-europacorp avalanche-productions europacorp,6.0,luc-besson,freddie-highmore mia-farrow madonna
1954,16.599,672,comedy romance,worldwide paramount mirage-enterprises sandollar-productions constellation-entertainment mont-blanc-entertainment-gmbh scott-rudin-productions,6.3,sydney-pollack,harrison-ford julia-ormond greg-kinnear
2018,16.593,868,drama crime,gaga-corporation fuji-television-network aoi-promotion bun-buku,8.0,hirokazu-koreeda,lily-franky sakura-andô kirin-kiki
1986,16.589000000000002,868,action crime thriller,cannon-group warner-bros.-pictures golan-globus-productions,5.8,george-p.-cosmatos,sylvester-stallone brigitte-nielsen reni-santoni
2017,16.587,830,action crime thriller,vertigo-entertainment filmnation-entertainment riverstone-pictures open-road-films,5.6,baran-bo-odar,jamie-foxx michelle-monaghan dermot-mulroney
2003,16.587,1760,drama romance,fiction-films recorded-picture-company peninsula-films,7.2,bernardo-bertolucci,michael-pitt louis-garrel eva-green
2011,16.583,4480,thriller science-fiction mystery,bad-robot amblin-entertainment paramount k/o-camera-toys,7.0,j.j.-abrams,elle-fanning aj-michalka kyle-chandler
2015,16.582,1941,action crime thriller,québec-production-services-tax-credit daybreak-productions prime-universe-productions giant-pictures tsg-entertainment dayday-films ingenious-media fox-international-productions deutscher-filmförderfonds 20th-century-fox medienboard-berlin-brandenburg,5.7,aleksander-bach,rupert-friend hannah-ware zachary-quinto
2009,16.58,2412,fantasy action adventure science-fiction thriller,screen-gems lakeshore-entertainment sketch-films uw3-film-productions,6.6,patrick-tatopoulos,rhona-mitra michael-sheen bill-nighy
2015,16.578,796,comedy western,happy-madison-productions,4.8,frank-coraci,adam-sandler terry-crews jorge-garcia
1991,16.576,1745,thriller crime,universal-pictures amblin-entertainment cappa-productions tribeca-productions,7.3,martin-scorsese,robert-de-niro nick-nolte jessica-lange
2014,16.574,1380,drama crime,fox-searchlight-pictures chernin-entertainment,7.1,michaël-r.-roskam,tom-hardy noomi-rapace james-gandolfini
1994,16.574,766,action drama thriller,paramount mace-neufeld-productions,6.9,phillip-noyce,harrison-ford willem-dafoe anne-archer
2014,16.573,2327,action adventure history romance drama,don-carmody-productions tristar-pictures filmdistrict impact-pictures constantin-film,5.5,paul-w.s.-anderson,kit-harington emily-browning kiefer-sutherland
2004,16.572,519,crime drama,italo/judeo-productions bill/phillips columbia-pictures,8.3,martin-scorsese,robert-de-niro jodie-foster cybill-shepherd
2019,16.567999999999998,410,drama history mystery thriller,fastnet-films 22h22 caviar-antwerp-nv definition-films zik-zak-filmworks,7.3,farhad-safinia,mel-gibson sean-penn eddie-marsan
2011,16.567999999999998,1289,comedy fantasy family music animation,fox-2000-pictures 20th-century-fox regency-enterprises dune-entertainment bagdasarian-productions,4.3,mike-mitchell,justin-long matthew-gray-gubler jesse-mccartney
1989,16.567999999999998,1299,comedy,hughes-entertainment warner-bros.-pictures,7.6,jeremiah-s.-chechik,chevy-chase beverly-d'angelo juliette-lewis
2010,16.566,813,comedy fantasy romance,krasnoff-foster-productions touchstone-pictures film-production-consultants,5.6,mark-steven-johnson,kristen-bell josh-duhamel anjelica-huston
2009,16.561,949,crime thriller horror drama,rogue-pictures film-afrika-worldwide sean-s.-cunningham-films,6.5,dennis-iliadis,garret-dillahunt monica-potter tony-goldwyn
2000,16.56,1157,mystery science-fiction action,phoenix-pictures,5.9,roger-spottiswoode,arnold-schwarzenegger michael-rapaport tony-goldwyn
2000,16.555,334,thriller horror,wes-craven-films dimension-films neo-art-&-logic,4.9,patrick-lussier,gerard-butler justine-waddell jonny-lee-miller
2003,16.555,613,action adventure science-fiction,paramount mutual-film-company the-donners'-company cobalt-media-group artists-production-group-(apg),5.7,richard-donner,paul-walker gerard-butler billy-connolly
2015,16.554000000000002,1437,action crime thriller,studio-babelsberg alcon-entertainment dmg-entertainment ehman-productions,5.3,ericson-core,edgar-ramírez luke-bracey ray-winstone
2013,16.553,1141,drama,warner-bros.-pictures,7.5,brian-helgeland,chadwick-boseman t.r.-knight harrison-ford
2008,16.551,671,action thriller science-fiction,rogue-pictures intrepid-pictures crystal-sky-pictures scion-films moonlighting-films internationale-filmproduktion-blackbird-dritte,6.0,neil-marshall,rhona-mitra bob-hoskins alexander-siddig
2010,16.549,656,action thriller science-fiction,moonlighting-films cc-capital-arts-entertainment-srl,5.6,roel-reiné,luke-goss lauren-cohan sean-bean
1986,16.543,2848,comedy,paramount,7.8,john-hughes,matthew-broderick alan-ruck mia-sara
1970,16.537,660,adventure science-fiction mystery,apjac-productions 20th-century-fox,6.1,ted-post,james-franciscus kim-hunter maurice-evans
2008,16.533,2165,action comedy thriller,wv-films-iv village-roadshow-pictures mosaic-media-group mad-chance callahan-filmworks atlas-entertainment mel's-cite-du-cinema warner-bros.-pictures,6.5,peter-segal,steve-carell anne-hathaway alan-arkin
1993,16.533,1743,crime thriller,universal-pictures epic-productions bregman/baer-productions,7.9,brian-de-palma,al-pacino sean-penn penelope-ann-miller
2008,16.532,1757,action drama thriller,scott-free-productions de-line-pictures warner-bros.-pictures,7.1,ridley-scott,leonardo-dicaprio russell-crowe mark-strong
1998,16.532,2166,comedy family,walt-disney-pictures,6.5,nancy-meyers,lindsay-lohan dennis-quaid natasha-richardson
2017,16.531,2663,adventure drama science-fiction action,kate-street-picture-company plan-b-entertainment lewis-pictures next-entertainment-world,7.3,bong-joon-ho,tilda-swinton paul-dano seo-hyun-ahn
2015,16.529,2307,drama music,broken-chair-flickz universal-pictures legendary-entertainment new-line-cinema cube-vision crucial-films,7.9,f.-gary-gray,o'shea-jackson-jr. corey-hawkins jason-mitchell
2014,16.529,339,thriller action,oasis-films emmett/furla-films aperture-entertainment grindstone-entertainment-group,4.6,brian-a.-miller,jason-patric bruce-willis john-cusack
1997,16.528,920,action adventure thriller,blue-tulip-productions 20th-century-fox,3.9,jan-de-bont,sandra-bullock jason-patric willem-dafoe
1994,16.527,454,comedy crime,warner-bros.-pictures,3.6,alan-metter,g.w.-bailey george-gaynes michael-winslow
2005,16.526,3637,comedy drama romance,columbia-pictures overbrook-entertainment sony-pictures,6.6,andy-tennant,will-smith eva-mendes kevin-james
1999,16.526,1001,crime action drama,icon-productions warner-bros.-pictures,7.1,brian-helgeland,mel-gibson gregg-henry maria-bello
1926,16.524,544,action adventure comedy drama war,joseph-m.-schenck-productions buster-keaton-productions,8.1,unknown,buster-keaton marion-mack glen-cavender
2009,16.522000000000002,16,thriller drama,alameda-films,6.2,michel-franco,dario-yazbek-bernal marimar-vega josé-maría-torre
2014,16.52,790,thriller,seven-pictures deutsche-columbia-pictures-film-produktion wiedemann-&-berg-television,7.6,baran-bo-odar,tom-schilling elyas-m'barek wotan-wilke-möhring
2019,16.518,1699,action thriller crime adventure,atlas-entertainment,6.4,j.c.-chandor,ben-affleck oscar-isaac charlie-hunnam
1984,16.517,798,adventure fantasy action,de-laurentiis-entertainment-group-(deg) universal-pictures,5.9,richard-fleischer,arnold-schwarzenegger grace-jones olivia-d'abo
2007,16.517,2215,science-fiction thriller,ingenious-media moving-picture-company uk-film-council dna-films,7.2,danny-boyle,cillian-murphy rose-byrne chris-evans
2012,16.500999999999998,5002,drama science-fiction,cloud-atlas-productions anarchos-productions ascension-pictures dreams-of-dragon-picture five-drops media-asia-group ard/degeto-film x-filme-creative-pool,7.4,unknown,tom-hanks halle-berry hugh-grant
1997,16.500999999999998,1753,drama,new-line-cinema lawrence-gordon-productions ghoulardi-film-company,7.9,paul-thomas-anderson,mark-wahlberg julianne-moore burt-reynolds
1996,16.5,77,documentary,chal-productions jam-productions 20th-century-fox,7.3,al-pacino,al-pacino alec-baldwin kevin-spacey
1991,16.498,2628,animation comedy family fantasy,cinesite-animation nitrogen-studios-canada bron-studios metro-goldwyn-mayer,5.8,unknown,oscar-isaac charlize-theron chloë-grace-moretz
2008,16.496,3512,drama thriller war,film-capital-europe-funds-(fcef-) first-light kingsgate-films summit-entertainment voltage-pictures grosvenor-park-media,7.6,kathryn-bigelow,jeremy-renner anthony-mackie brian-geraghty
2000,16.496,1539,drama music,columbia-pictures vinyl-films dreamworks-pictures,7.9,cameron-crowe,billy-crudup patrick-fugit kate-hudson
2019,16.493,39,comedy,same-player good-time-productions studiocanal-s.a.s.,6.2,yvan-attal,yvan-attal charlotte-gainsbourg eric-ruf
2015,16.493,2176,drama romance,wildgaze-films item-7 parallel-films screen-ireland,7.5,john-crowley,saoirse-ronan emory-cohen domhnall-gleeson
1985,16.493,449,adventure comedy romance,warner-bros.-pictures,6.2,amy-heckerling,chevy-chase beverly-d'angelo dana-hill
2019,16.488,205,comedy family,broken-road-productions nickelodeon-movies paramount-players walden-media,4.9,andy-fickman,john-cena keegan-michael-key john-leguizamo
2018,16.486,615,adventure fantasy romance drama family,kingsway-productions mvp-studios conglomerate-media,4.2,unknown,william-moseley poppy-drayton loreto-peralta
1985,16.485,597,horror,d.o.d.-productions taurus-entertainment-company emmett/furla-films millennium-films nu-image,4.5,steve-miner,mena-suvari nick-cannon michael-welch
2016,16.479,189,drama action,stage-6-films,6.4,michael-jai-white,michael-jai-white gillian-white esai-morales
2015,16.475,144,fantasy,raffaella-productions,5.1,colin-teague,julian-morris tamzin-merchant jassa-ahluwalia
2018,16.473,558,comedy drama,fable-pictures entertainment-one baby-cow-productions sonesta-films bbc-films laurel-and-hardy-feature-productions,7.2,jon-s.-baird,steve-coogan john-c.-reilly shirley-henderson
2014,16.465999999999998,2731,action crime drama thriller,revolution-sun-studios reliance-entertainment bandito-brothers touchstone-pictures electronic-arts dreamworks-pictures,6.4,scott-waugh,aaron-paul dominic-cooper imogen-poots
2006,16.465999999999998,854,comedy crime,wayans-bros.-entertainment revolution-studios,4.4,keenen-ivory-wayans,shawn-wayans marlon-wayans kerry-washington
2020,16.464000000000002,1,animation comedy family,courtside-seats-productions warner-bros.-family-entertainment northern-lights-entertainment warner-bros.-animation warner-bros.-pictures,6.4,joe-pytka,michael-jordan wayne-knight theresa-randle
1995,16.463,1871,drama,kasso-productions la-sept-cinéma les-productions-lazennec canal+ studiocanal,8.1,mathieu-kassovitz,vincent-cassel hubert-koundé saïd-taghmaoui
2012,16.461,2314,action comedy romance,dune-entertainment overbrook-entertainment robert-simonds-productions,6.3,mcg,reese-witherspoon chris-pine tom-hardy
2014,16.458,1880,horror,white-noise-factory universal-pictures platinum-dunes mrc blumhouse-productions 5150-action hasbro-studios dentsu fuji-television-network,4.5,stiles-white,olivia-cooke ana-coto daren-kagasoff
2010,16.448,1162,horror,universal-pictures relativity-media stuber-productions,5.8,joe-johnston,benicio-del-toro anthony-hopkins emily-blunt
1980,16.444000000000006,1033,romance adventure drama,columbia-pictures,5.8,randal-kleiser,brooke-shields christopher-atkins leo-mckern
2013,16.442999999999998,3446,comedy action science-fiction,focus-features universal-pictures big-talk-productions working-title-films,7.0,edgar-wright,simon-pegg nick-frost martin-freeman
1999,16.439,794,horror thriller fantasy mystery,dreamworks-pictures roth-arnold-productions,5.0,jan-de-bont,liam-neeson catherine-zeta-jones owen-wilson
2016,16.436,9034,drama romance science-fiction,wanda-pictures columbia-pictures village-roadshow-pictures original-film company-films start-motion-pictures lstar-capital,7.0,morten-tyldum,jennifer-lawrence chris-pratt michael-sheen
2008,16.428,265,animation fantasy family,unknown,5.9,conrad-helten,chiara-zanni tabitha-st.-germain kathleen-barr
2013,16.426,1630,romance,relativity-media temple-hill-entertainment,6.7,lasse-hallström,julianne-hough josh-duhamel cobie-smulders
2006,16.423,1624,horror thriller,dune-entertainment major-studio-partners craven-maddalena-films,6.4,alexandre-aja,ted-levine kathleen-quinlan dan-byrd
2011,16.422,699,crime drama thriller mystery,nu-image winkler-films millennium-films,5.3,joel-schumacher,nicolas-cage nicole-kidman cam-gigandet
1995,16.42,503,comedy family romance,dualstar-productions orr-&-cruickshank rysher-entertainment warner-bros.-pictures,5.9,andy-tennant,kirstie-alley steve-guttenberg mary-kate-olsen
2012,16.413,3572,comedy drama romance,focus-features scott-rudin-productions indian-paintbrush american-empirical-pictures moonrise,7.8,wes-anderson,jared-gilman kara-hayward bruce-willis
1996,16.413,3437,crime horror mystery,woods-entertainment dimension-films,7.2,wes-craven,neve-campbell courteney-cox david-arquette
2003,16.412,897,comedy,type-a-films marc-platt-productions metro-goldwyn-mayer,4.8,charles-herman-wurmfeld,reese-witherspoon sally-field bob-newhart
2014,16.41,12538,action adventure science-fiction,marvel-studios,7.7,unknown,chris-evans samuel-l.-jackson scarlett-johansson
2005,16.408,1093,animation comedy family,kanbar-entertainment the-weinstein-company,6.4,unknown,anne-hathaway glenn-close patrick-warburton
2015,16.407,1130,action comedy crime,new-line-cinema pacific-standard metro-goldwyn-mayer warner-bros.-pictures,5.1,anne-fletcher,reese-witherspoon sofía-vergara matthew-del-negro
2017,16.404,876,drama history crime,red-granite-pictures czech-anglo-productions fishcorb-films,7.2,michael-noer,charlie-hunnam damijan-oklopdzic christopher-fairbank
2013,16.404,2349,fantasy action comedy crime,universal-pictures dark-horse-entertainment original-film,5.6,robert-schwentke,ryan-reynolds jeff-bridges mary-louise-parker
2008,16.404,1902,fantasy comedy family romance,walt-disney-pictures happy-madison-productions gunn-films,6.0,adam-shankman,adam-sandler keri-russell courteney-cox
2009,16.401,1012,adventure family fantasy science-fiction thriller action,walt-disney-pictures gunn-films,5.7,andy-fickman,dwayne-johnson carla-gugino annasophia-robb
2011,16.394000000000002,4875,adventure action thriller science-fiction,dc-entertainment de-line-pictures warner-bros.-pictures,5.5,martin-campbell,ryan-reynolds blake-lively peter-sarsgaard
2014,16.391,789,documentary,praxis-films participant-media hbo-documentary-films,8.0,laura-poitras,edward-snowden glenn-greenwald william-binney
1989,16.391,1570,adventure action thriller science-fiction,lightstorm-entertainment pacific-western 20th-century-fox,7.6,james-cameron,ed-harris mary-elizabeth-mastrantonio michael-biehn
2014,16.383,5699,crime comedy action,columbia-pictures original-film mrc lstar-capital metro-goldwyn-mayer stephen-j.-cannell-productions storyville 75-year-plan-productions sony-pictures,7.0,unknown,channing-tatum jonah-hill ice-cube
1994,16.381,1933,crime thriller drama,j-d-productions regency-enterprises alcor-films ixtlan new-regency-pictures warner-bros.-pictures,7.3,oliver-stone,woody-harrelson juliette-lewis tom-sizemore
2014,16.38,5383,adventure animation comedy family fantasy,lin-pictures village-roadshow-pictures lego animal-logic warner-animation-group ratpac-dune-entertainment vertigo-entertainment warner-bros.-pictures,7.7,unknown,chris-pratt will-ferrell elizabeth-banks
1994,16.38,625,drama mystery romance,zespół-filmowy-tor le-studio-canal+ france-3-cinéma télévision-suisse-romande,8.1,krzysztof-kieslowski,irène-jacob jean-louis-trintignant frédérique-feder
1971,16.373,1243,action crime thriller,warner-bros.-pictures malpaso-productions,7.7,don-siegel,clint-eastwood andrew-robinson harry-guardino
2006,16.372,287,drama action thriller crime,3l-filmverleih nu-image,5.6,bruce-beresford,john-cusack morgan-freeman jamie-anderson
2019,16.371,241,documentary history,statement-pictures cnn-films neon,8.2,todd-douglas-miller,neil-armstrong michael-collins buzz-aldrin
1992,16.37,1180,comedy family,northern-lights-entertainment universal-pictures,5.7,brian-levant,charles-grodin bonnie-hunt dean-jones
2007,16.366,627,adventure family fantasy,revolution-studios walden-media beacon-pictures ecosse-films,6.4,jay-russell,emily-watson david-morrissey alex-etel
2007,16.364,1167,comedy family,monkey-dance-productions walt-disney-pictures mayhem-pictures,6.1,andy-fickman,dwayne-johnson kyra-sedgwick madison-pettis
2006,16.357,2890,action thriller science-fiction,scott-free-productions touchstone-pictures jerry-bruckheimer-films,7.0,tony-scott,denzel-washington paula-patton jim-caviezel
2012,16.355999999999998,5703,drama thriller,gk-films warner-bros.-pictures smoke-house-pictures,7.7,ben-affleck,ben-affleck bryan-cranston john-goodman
2019,16.355,39,drama mystery comedy,secret-engine tango-entertainment,6.4,unknown,david-coffin david-pridemore adam-wolf-mayerson
2015,16.354,1717,comedy,gary-sanchez-productions warner-bros.-pictures,6.0,etan-cohen,will-ferrell kevin-hart alison-brie
2013,16.354,9,comedy romance,star-cinema-–-abs-cbn-film-productions,6.9,dado-c.-lumibao,kathryn-bernardo daniel-padilla liza-soberano
1985,16.352,830,crime drama romance thriller,paramount,7.4,peter-weir,harrison-ford kelly-mcgillis lukas-haas
2015,16.35,689,comedy,closest-to-the-hole-productions warner-bros.-pictures,6.6,doug-ellin,adrian-grenier kevin-connolly jerry-ferrara
2000,16.35,2306,adventure comedy crime,mike-zoss-productions universal-pictures touchstone-pictures working-title-films studiocanal,7.7,unknown,george-clooney john-turturro tim-blake-nelson
2003,16.349,669,action,madacy-entertainment splendid-pictures maverick-films dylan-sellers-productions metro-goldwyn-mayer,5.0,harald-zwart,frankie-muniz hilary-duff andrew-francis
2006,16.348,430,adventure action thriller,dimension-films impact-pictures constantin-film mindfire-entertainment team-ninja vip-4-medienfonds tecmo,4.8,corey-yuen,jaime-pressly devon-aoki sarah-carter
2008,16.347,1032,action comedy science-fiction,dimension-films,4.5,craig-mazin,drake-bell leslie-nielsen sara-paxton
2015,16.345,2672,fantasy comedy animation science-fiction family,dreamworks-animation,6.6,tim-johnson,jim-parsons rihanna steve-martin
2019,16.344,550,animation comedy adventure family,rovio-animation columbia-pictures sony-pictures-animation sony-pictures rovio-entertainment,6.4,unknown,jason-sudeikis josh-gad leslie-jones
1998,16.342,850,animation adventure action,tv-tokyo shogakukan-production tomy game-freak creatures jr-kikaku media-factory jay-film-co. ltd. olm,6.3,unknown,veronica-taylor rachael-lillis eric-stuart
2019,16.337,0,horror,nant-entertainment,7.1,billy-christian,the-sacred-riana aura-kasih agatha-chelsea
1994,16.334,952,action comedy crime,paramount eddie-murphy-productions,5.6,john-landis,eddie-murphy jon-tenney joey-travolta
2013,16.332,226,comedy crime,abbolita-productions gotham-group starstream-entertainment,5.8,daniel-schechter,jennifer-aniston yasiin-bey isla-fisher
2008,16.331,3285,fantasy horror,universal-pictures dark-horse-entertainment internationale-filmproduktion-eagle mid-atlantic-films relativity-media lawrence-gordon-productions,7.0,guillermo-del-toro,ron-perlman selma-blair doug-jones
2005,16.331,1836,action adventure,amblin-entertainment columbia-pictures,6.0,martin-campbell,antonio-banderas catherine-zeta-jones rufus-sewell
2007,16.327,6588,adventure drama,river-road-entertainment paramount-vantage into-the-wild the-linson-company,8.1,sean-penn,emile-hirsch vince-vaughn catherine-keener
2018,16.322,606,horror,miramax the-cropsy-venture,6.4,tony-maylam,brian-matthews leah-ayres brian-backer
2016,16.32,2636,action adventure fantasy,thunder-road pyramania summit-entertainment mystery-clock-cinema tik-films,5.4,alex-proyas,brenton-thwaites nikolaj-coster-waldau gerard-butler
1940,16.314,1788,comedy,roy-export-company-establishment united-artists,8.4,charles-chaplin,charles-chaplin paulette-goddard jack-oakie
2007,16.308,1727,animation comedy family,walt-disney-pictures walt-disney-animation-studios,6.8,stephen-j.-anderson,daniel-hansen wesley-singerman angela-bassett
2008,16.305,1270,thriller crime drama,omnilab-media mosaic-media-group relativity-media skyline-(baker-st) atlas-entertainment,7.2,roger-donaldson,jason-statham saffron-burrows stephen-campbell-moore
2008,16.304000000000002,897,horror thriller,rollercoaster-films aramid-entertainment-fund,6.8,james-watkins,kelly-reilly michael-fassbender tara-ellis
